"X.1","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
89939,4283,"RT @Max_Fisher: take a moment to consider what sort of people donald trump would appoint to the supreme court",FALSE,0,NA,"2016-02-14 00:08:33",FALSE,NA,698660060650725376,NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","EntirelyAmelia",130,TRUE,FALSE,NA,NA
39753,1893,"Rubio endorsed by South Carolina's Nikki Haley ahead of state primary – live: New poll puts numbers… https://t.co/Gi9KzXjvoa | #Election2016",FALSE,0,NA,"2016-02-17 22:23:08",FALSE,NA,700083084608208896,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","POLSTopeka",0,FALSE,FALSE,NA,NA
111124,5292,"New Hampshire primary: candidates make final push before polls close – live: * First-in-the-nation primary sees… https://t.co/GICjZSUsOS",FALSE,0,NA,"2016-02-09 21:46:12",FALSE,NA,697174686564679680,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","CHNGChicago",0,FALSE,FALSE,NA,NA
70768,3370,"RT @LandmanMarius: I Bush kept us safe then why did 5000 innocent civilians die. Bush had the chance to kill Bin laden. He didn't. https://…",FALSE,0,NA,"2016-02-15 22:01:53",FALSE,NA,699352959965118464,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","philmonaco67",80,TRUE,FALSE,NA,NA
269132,69132,"Hillary is another Donald trump #DemTownHall #AnotherOne",FALSE,1,NA,"2016-01-26 04:47:23",FALSE,NA,691844861700472832,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TomaCaramelious",0,FALSE,FALSE,NA,NA
2195,105,"Bush on Trump: 'The guy needs therapy' - Just hours before Saturday night's Republican debate in New Hampshire,... https://t.co/jpbOqzAe66",FALSE,0,NA,"2016-02-07 00:35:12",FALSE,NA,696130052921106432,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Remotenews",0,FALSE,FALSE,NA,NA
100905,4805,"RT @onewisconsinnow: Trump: @SpeakerRyan cost GOP 2012 election. So he’s admitting @BarackObama is president. #DoYourJob #Filltheseat  http…",FALSE,0,NA,"2016-02-17 22:11:47",FALSE,NA,700080226345193472,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BSteph12",2,TRUE,FALSE,NA,NA
127821,6087,"RT @immigrant4trump: Donald Trump Rally Baton Rouge Louisiana – 8:00pm EST ""Massive Crowd Expected""
Watch https://t.co/VfdmRU3vlG #Trump ht…",FALSE,0,NA,"2016-02-12 00:09:21",FALSE,NA,697935486497611776,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","capeoplesparty",42,TRUE,FALSE,NA,NA
122179,5819,"RT @ClassicPict: Donald Trump v Adolf Hitler https://t.co/TJBmi50MhX",FALSE,0,NA,"2016-02-09 21:41:44",FALSE,NA,697173561887182848,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bre_kay5",70206,TRUE,FALSE,NA,NA
25344,1207,"RT @PatriotInsight: Trump Keeps Saying He Opposed The Iraq War, But No One Can Find Any Evidence

Story at https://t.co/qq1pMg8MXm https://…",FALSE,0,NA,"2016-02-15 02:18:21",FALSE,NA,699055114225455104,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lizbethjoy",10,TRUE,FALSE,NA,NA
19979,952,"Donald Trump nominated for Noble Peace prize <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
So any doubts about nobility of the Nobel Prize. 
Next it should be given to Netanyahu <ed><U+00A0><U+00BD><ed><U+00B8><U+0085><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,NA,"2016-02-04 09:13:10",FALSE,NA,695173237869801472,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pakview",0,FALSE,FALSE,NA,NA
126068,6004,"Peter Serafinowicz has dubbed a Donald Trump speech with a cockney accent and it's hilarious https://t.co/6slEckboii",FALSE,0,NA,"2016-01-30 19:30:26",FALSE,NA,693516640923881472,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","jmbrighton",0,FALSE,FALSE,NA,NA
132530,6311,"RT @CNN: .@realDonaldTrump's GOP rivals say he sounds like Michael Moore https://t.co/N47rizriyL https://t.co/4dr9sHqmpl",FALSE,0,NA,"2016-02-16 22:20:31",FALSE,NA,699720034327744512,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pendulum5884",89,TRUE,FALSE,NA,NA
181154,8627,"AHMAGAD! Why Donald Trump when you can Trump Donald? https://t.co/ZR2JG7ueLo  https://t.co/ismzjbv4Nt #TrumpDonald",FALSE,0,NA,"2016-02-04 19:34:14",FALSE,NA,695329535529730048,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nazermatt",0,FALSE,FALSE,NA,NA
280245,80245,"RT @WORIDSTARHIPHOP: BRUH @phoraone kidnapped Donald Trump in his new music vid ""Open Letter"" <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+0080> https://t.co/8TUmZ6UVeD",FALSE,0,NA,"2016-01-26 03:12:20",FALSE,NA,691820943111540736,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thompson_Era",398,TRUE,FALSE,NA,NA
115076,5480,"RT @jaketapper: Donald Trump, Marco Rubio complain about push polls - https://t.co/4kGK7SPuhq https://t.co/QKbJX3sdsq",FALSE,0,NA,"2016-02-12 00:15:12",FALSE,NA,697936959067455488,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","justkarl",24,TRUE,FALSE,NA,NA
225664,25664,"RT @meanpIastic: who would you rather have as the president
rt for conchobar
like for donald trump https://t.co/kNhC1L11BE",FALSE,0,NA,"2016-01-26 15:41:06",FALSE,NA,692009375615971328,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SarahAguirre98",4870,TRUE,FALSE,NA,NA
82100,3910,"@UberFacts @MatthewMobydick that looks like Donald Trump hah",FALSE,0,"UberFacts","2016-02-07 21:27:43",FALSE,696404854554677248,696445257035214848,95023423,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","donaldpbritt",0,FALSE,FALSE,NA,NA
258780,58780,"Donald Trump unapologetically boasts that he fully exploits the tax code https://t.co/HlzAXvixnB https://t.co/ttYzPcQ1vl",FALSE,0,NA,"2016-01-26 06:49:57",FALSE,NA,691875705903255552,NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","MillyHamra",0,FALSE,FALSE,NA,NA
